::1 - - 17/Feb/2025:08:35:43 +0000 'GET / HTTP/1.1' 200 39 4.715 '-' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:35:43 +0000 'GET /favicon.ico HTTP/1.1' 404 1269 2.786 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET / HTTP/1.1' 200 8508 1.251 '-' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/flatpickr/dist/flatpickr.min.css HTTP/1.1' 404 184 67.326 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-ui-select/dist/select.min.css HTTP/1.1' 404 184 20.341 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/ng-tags-input/ng-tags-input.min.css HTTP/1.1' 404 184 23.056 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/ng-table/dist/ng-table.css HTTP/1.1' 404 184 25.031 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/fonts/css/line-awesome.css HTTP/1.1' 404 184 26.681 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1' 404 184 27.643 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/css/animate.css HTTP/1.1' 404 184 17.042 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/dropzone/dist/dropzone.css HTTP/1.1' 404 184 19.419 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
